YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,241,757
2022-12,WEEKDAY,6,TRAIN,NS24/NE6/CC1,599,2806
2022-12,WEEKDAY,6,TRAIN,CC1,599,2806
2022-12,WEEKDAY,6,TRAIN,NE6,1469,3220
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,NS24,241,757
2022-12,WEEKDAY,6,TRAIN,NS24,599,2806
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,CC1,241,757
2022-12,WEEKDAY,22,TRAIN,TE15,2581,1118
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,TE15,1415,566
2022-12,WEEKDAY,0,TRAIN,EW19,54,447
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,EW19,108,584
2022-12,WEEKDAY,10,TRAIN,EW21/CC22,4831,7125
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,CC22,2796,2658
2022-12,WEEKDAY,10,TRAIN,CC22,4831,7125
2022-12,WEEKDAY,10,TRAIN,EW21,3711,5046
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,2796,2658
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,EW21,3018,3086
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2038,1542
2022-12,WEEKDAY,8,TRAIN,CC8,10068,5988
2022-12,WEEKDAY,17,TRAIN,NE7,20153,17864
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,NE7,12218,12547
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,12218,12547
2022-12,WEEKDAY,17,TRAIN,NE7/DT12,20153,17864
2022-12,WEEKDAY,17,TRAIN,DT12,5532,3891
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,DT12,2365,3652
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1903,1244
2022-12,WEEKDAY,17,TRAIN,EW33,7653,3566
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NS8,471,1324
2022-12,WEEKDAY,0,TRAIN,NS8,528,2386
2022-12,WEEKDAY,18,TRAIN,NS14,27708,57097
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,NS14,10268,12210
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,EW17,9142,8442
